value	event_type	task_role	letter
A	show_letter	to_remember	A
B	show_letter	to_remember	B
C	show_letter	to_remember	C
D	show_letter	to_remember	D
E	show_letter	to_remember	E
F	show_letter	to_remember	F
G	show_letter	to_remember	G
H	show_letter	to_remember	H
I	show_letter	to_remember	I
J	show_letter	to_remember	J
K	show_letter	to_remember	K
L	show_letter	to_remember	L
M	show_letter	to_remember	M
N	show_letter	to_remember	N
O	show_letter	to_remember	O
P	show_letter	to_remember	P
Q	show_letter	to_remember	Q
R	show_letter	to_remember	R
S	show_letter	to_remember	S
T	show_letter	to_remember	T
U	show_letter	to_remember	U
V	show_letter	to_remember	V
W	show_letter	to_remember	W
X	show_letter	to_remember	X
Y	show_letter	to_remember	Y
Z	show_letter	to_remember	Z
gA	show_letter	to_ignore	A
gB	show_letter	to_ignore	B
gC	show_letter	to_ignore	C
gD	show_letter	to_ignore	D
gE	show_letter	to_ignore	E
gF	show_letter	to_ignore	F
gG	show_letter	to_ignore	G
gH	show_letter	to_ignore	H
gI	show_letter	to_ignore	I
gJ	show_letter	to_ignore	J
gK	show_letter	to_ignore	K
gL	show_letter	to_ignore	L
gM	show_letter	to_ignore	M
gN	show_letter	to_ignore	N
gO	show_letter	to_ignore	O
gP	show_letter	to_ignore	P
gQ	show_letter	to_ignore	Q
gR	show_letter	to_ignore	R
gS	show_letter	to_ignore	S
gT	show_letter	to_ignore	T
gU	show_letter	to_ignore	U
gV	show_letter	to_ignore	V
gW	show_letter	to_ignore	W
gX	show_letter	to_ignore	X
gY	show_letter	to_ignore	Y
gZ	show_letter	to_ignore	Z
rA	show_letter	remembered_probe	A
rB	show_letter	remembered_probe	B
rC	show_letter	remembered_probe	C
rD	show_letter	remembered_probe	D
rE	show_letter	remembered_probe	E
rF	show_letter	remembered_probe	F
rG	show_letter	remembered_probe	G
rH	show_letter	remembered_probe	H
rI	show_letter	remembered_probe	I
rJ	show_letter	remembered_probe	J
rK	show_letter	remembered_probe	K
rL	show_letter	remembered_probe	L
rM	show_letter	remembered_probe	M
rN	show_letter	remembered_probe	N
rO	show_letter	remembered_probe	O
rP	show_letter	remembered_probe	P
rQ	show_letter	remembered_probe	Q
rR	show_letter	remembered_probe	R
rS	show_letter	remembered_probe	S
rT	show_letter	remembered_probe	T
rU	show_letter	remembered_probe	U
rV	show_letter	remembered_probe	V
rW	show_letter	remembered_probe	W
rX	show_letter	remembered_probe	X
rY	show_letter	remembered_probe	Y
rZ	show_letter	remembered_probe	Z
WM	show_dash	work_memory	-
nonWM	show_cross	fixate	+
correct	sound_beep	feedback_correct	n/a
wrong	sound_buzz	feedback_incorrect	n/a
1	right_click	remembered_correct	n/a
255	left_click	ignored_correct	n/a
